Trajectories,,,,,,,,,,
100,,,,,,,,,,
,,HW3-003:PELVIS_T,,,HW3-003:R_Foot_T,,,HW3-003:L_Foot_T,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z
,,mm,mm,mm,mm,mm,mm,mm,mm,mm
86,0,-2.40398,400.757629,1029.385498,-18.591722,197.68573,113.943512,156.460541,-101.112274,158.706924
87,0,-2.373433,403.335602,1029.59314,-18.573692,202.55928,114.010773,157.167084,-103.793465,161.845688
88,0,-2.293073,405.912079,1029.779663,-18.602581,207.387527,114.125496,157.812653,-105.599907,164.839752
89,0,-2.156655,408.480316,1029.943604,-18.595984,212.24054,114.189781,158.427048,-106.594398,167.571045
90,0,-1.95938,411.028656,1030.084717,-18.517626,217.126053,114.153107,159.028244,-106.869492,169.91275
91,0,-1.700954,413.541901,1030.203979,-18.424984,221.959122,114.058052,159.61174,-106.50296,171.745483
92,0,-1.385532,416.006042,1030.304077,-18.376081,226.701584,113.970184,160.149002,-105.537094,172.982361
93,0,-1.014745,418.410583,1030.392456,-18.342928,231.476089,113.911453,160.607178,-103.978432,173.609558
94,0,-0.582513,420.747894,1030.475952,-18.264118,236.441895,113.874718,160.969208,-101.807976,173.689545
95,0,-0.074237,423.009308,1030.557861,-18.136477,241.598236,113.851883,161.238251,-99.004646,173.31662
96,0,0.530396,425.186096,1030.636841,-18.008776,246.822952,113.83226,161.432007,-95.575806,172.569931
97,0,1.24787,427.276154,1030.708008,-17.921274,252.033829,113.800636,161.577957,-91.561203,171.496384
98,0,2.084766,429.281586,1030.769043,-17.892559,257.184387,113.749763,161.695389,-87.010757,170.115921
99,0,3.041898,431.197449,1030.822266,-17.930977,262.191315,113.685448,161.753448,-81.967545,168.430496
100,0,4.115738,433.010315,1030.869873,-18.013998,267.027954,113.616234,161.662247,-76.464172,166.438614
101,0,5.295389,434.708252,1030.910034,-18.074423,271.836792,113.550865,161.342178,-70.530678,164.151398
102,0,6.565737,436.285004,1030.94165,-18.048899,276.795227,113.500473,160.780304,-64.195969,161.595078
103,0,7.914337,437.739166,1030.966675,-17.941372,281.908478,113.470161,159.99498,-57.457062,158.804565
104,0,9.336303,439.07373,1030.984253,-17.804443,287.068848,113.44223,158.980331,-50.246384,155.82254
105,0,10.834927,440.293304,1030.985596,-17.676657,292.225037,113.370346,157.728333,-42.459721,152.701294
106,0,12.416002,441.400299,1030.955078,-17.590685,297.338745,113.224098,156.301407,-34.044174,149.504135
