,,HW3001:PELVIS_T,,,HW3001:R_Foot_T,,,HW3001:L_Foot_T,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z
,,mm,mm,mm,mm,mm,mm,mm,mm,mm
97,0,-23.253338,-109.057816,1148.95874,-176.796158,-97.433235,91.385811,76.772972,-446.665466,106.218399
98,0,-21.10318,-109.783936,1149.199097,-177.166428,-95.460167,91.482849,76.913483,-441.733063,106.103699
99,0,-19.017303,-110.474274,1149.356934,-177.4888,-93.593529,91.879936,77.113533,-436.801971,105.974365
100,0,-17.093069,-111.011826,1149.443726,-177.572174,-91.718796,92.455414,77.335762,-431.872467,105.841095
101,0,-15.240363,-111.427109,1149.504028,-177.842484,-90.3526,93.380737,77.546875,-426.948029,105.710907
102,0,-13.454061,-111.781128,1149.558838,-177.974731,-89.267517,94.583534,77.730713,-422.030609,105.587753
103,0,-11.617518,-111.999695,1149.677856,-178.026001,-88.571754,96.073662,77.89444,-417.122101,105.478485
104,0,-9.774218,-112.130379,1149.795654,-177.966217,-88.156372,97.976761,78.054756,-412.221985,105.39151
105,0,-7.936707,-112.046883,1149.90564,-177.839508,-88.09063,100.253731,78.211777,-407.32074,105.324593
106,0,-6.038179,-111.936119,1149.980103,-177.636948,-88.393875,102.968529,78.340584,-402.410706,105.262741
107,0,-4.253,-111.652985,1150.025635,-177.429581,-89.088799,106.214806,78.418777,-397.493469,105.192818
108,0,-2.691769,-111.255333,1150.090088,-177.174805,-90.083649,109.892212,78.464203,-392.564911,105.115715
109,0,-1.204662,-110.745354,1150.158691,-176.714935,-91.285263,113.886993,78.523964,-387.612823,105.042328
110,0,0.099285,-110.231392,1150.224365,-176.242813,-92.990921,118.477684,78.622551,-382.628784,104.980309
111,0,1.306245,-109.587456,1150.282471,-175.93541,-95.618477,123.889641,78.742653,-377.617401,104.928551
112,0,2.39291,-108.871208,1150.437378,-175.59137,-99.42804,129.780777,78.846497,-372.596527,104.881149
113,0,3.404393,-108.11628,1150.662842,-175.010239,-104.441116,135.388306,78.907959,-367.583954,104.838531
114,0,4.288723,-107.333855,1150.968994,-174.421356,-110.525192,140.386597,78.949081,-362.580933,104.826599
115,0,5.156707,-106.479691,1151.376343,-173.696915,-117.271103,144.426666,79.025902,-357.573151,104.879112
116,0,5.887115,-105.571358,1151.821533,-173.128311,-124.729309,147.424103,79.146744,-352.550751,104.980682
117,0,6.471437,-104.614067,1152.284058,-172.56839,-133.061417,149.625977,79.254036,-347.522797,105.074142
118,0,7.036797,-103.558815,1152.717285,-171.861404,-141.983917,150.906647,79.304543,-342.504272,105.132126
119,0,7.467802,-102.449867,1153.11792,-171.017212,-151.419693,151.193192,79.305397,-337.501526,105.170029
